"pathway_name","ligand","receptor"
"BMP","Gdf7","BMPR1B_BMPR2"
"BMP","Bmp15","BMPR1B_BMPR2"
"BMP","Bmp5","ACVR1_ACVR2A"
"BMP","Bmp5","ACVR1_ACVR2B"
"BMP","Bmp5","ACVR1_BMPR2"
"BMP","Bmp5","BMPR1A_ACVR2A"
"BMP","Bmp5","BMPR1A_ACVR2B"
"BMP","Bmp5","BMPR1A_BMPR2"
"BMP","Bmp5","BMPR1B_ACVR2A"
"BMP","Bmp5","BMPR1B_ACVR2B"
"BMP","Bmp5","BMPR1B_BMPR2"
"BMP","Bmp6","ACVR1_ACVR2A"
"BMP","Bmp6","ACVR1_ACVR2B"
"BMP","Bmp6","ACVR1_BMPR2"
"BMP","Bmp6","BMPR1A_ACVR2A"
"BMP","Bmp6","BMPR1A_ACVR2B"
"BMP","Bmp6","BMPR1A_BMPR2"
"BMP","Bmp6","BMPR1B_ACVR2A"
"BMP","Bmp6","BMPR1B_ACVR2B"
"BMP","Bmp6","BMPR1B_BMPR2"
"BMP","Bmp7","ACVR1_ACVR2A"
"BMP","Bmp7","ACVR1_ACVR2B"
"BMP","Bmp7","ACVR1_BMPR2"
"BMP","Bmp7","BMPR1A_ACVR2A"
"BMP","Bmp7","BMPR1A_ACVR2B"
"BMP","Bmp7","BMPR1A_BMPR2"
"BMP","Bmp7","BMPR1B_ACVR2A"
"BMP","Bmp7","BMPR1B_ACVR2B"
"BMP","Bmp7","BMPR1B_BMPR2"
"BMP","Bmp8a","ACVR1_ACVR2A"
